ticker,symbol,base_symbol,active
CRVUSDT,CRV,USDT,1
SANDUSDT,SAND,USDT,1
OCEANUSDT,OCEAN,USDT,1
NMRUSDT,NMR,USDT,1
DOTUSDT,DOT,USDT,1
LUNAUSDT,LUNA,USDT,1
RSRUSDT,RSR,USDT,1
PAXGUSDT,PAXG,USDT,1
WNXMUSDT,WNXM,USDT,1
TRBUSDT,TRB,USDT,1
BZRXUSDT,BZRX,USDT,1
SUSHIUSDT,SUSHI,USDT,1
YFIIUSDT,YFII,USDT,1
KSMUSDT,KSM,USDT,1
EGLDUSDT,EGLD,USDT,1
DIAUSDT,DIA,USDT,1
RUNEUSDT,RUNE,USDT,1
FIOUSDT,FIO,USDT,1
UMAUSDT,UMA,USDT,1
EOSUPUSDT,EOSUP,USDT,1
EOSDOWNUSDT,EOSDOWN,USDT,1
TRXUPUSDT,TRXUP,USDT,1
TRXDOWNUSDT,TRXDOWN,USDT,1
XRPUPUSDT,XRPUP,USDT,1
XRPDOWNUSDT,XRPDOWN,USDT,1
DOTUPUSDT,DOTUP,USDT,1
DOTDOWNUSDT,DOTDOWN,USDT,1
BELUSDT,BEL,USDT,1
WINGUSDT,WING,USDT,1
LTCUPUSDT,LTCUP,USDT,1
LTCDOWNUSDT,LTCDOWN,USDT,1
UNIUSDT,UNI,USDT,1
NBSUSDT,NBS,USDT,1
OXTUSDT,OXT,USDT,1
SUNUSDT,SUN,USDT,1
AVAXUSDT,AVAX,USDT,1
HNTUSDT,HNT,USDT,1
FLMUSDT,FLM,USDT,1
UNIUPUSDT,UNIUP,USDT,1
UNIDOWNUSDT,UNIDOWN,USDT,1
ORNUSDT,ORN,USDT,1
UTKUSDT,UTK,USDT,1
XVSUSDT,XVS,USDT,1
ALPHAUSDT,ALPHA,USDT,1
AAVEUSDT,AAVE,USDT,1
NEARUSDT,NEAR,USDT,1
SXPUPUSDT,SXPUP,USDT,1
SXPDOWNUSDT,SXPDOWN,USDT,1
FILUSDT,FIL,USDT,1
FILUPUSDT,FILUP,USDT,1
FILDOWNUSDT,FILDOWN,USDT,1
YFIUPUSDT,YFIUP,USDT,1
YFIDOWNUSDT,YFIDOWN,USDT,1
INJUSDT,INJ,USDT,1
AUDIOUSDT,AUDIO,USDT,1
CTKUSDT,CTK,USDT,1
BCHUPUSDT,BCHUP,USDT,1
BCHDOWNUSDT,BCHDOWN,USDT,1
AKROUSDT,AKRO,USDT,1
AXSUSDT,AXS,USDT,1
HARDUSDT,HARD,USDT,1
DNTUSDT,DNT,USDT,1
STRAXUSDT,STRAX,USDT,1
UNFIUSDT,UNFI,USDT,1
ROSEUSDT,ROSE,USDT,1
AVAUSDT,AVA,USDT,1
XEMUSDT,XEM,USDT,1
AAVEUPUSDT,AAVEUP,USDT,1
